CVE-2020-8196
CVE-2021-22893
CVE-2020-12271
CVE-2021-21972
CVE-2021-22986
CVE-2019-0604
CVE-2019-1579
CVE-2020-12812
CVE-2020-10189
CVE-2021-28799
CVE-2017-0199
CVE-2020-3452
CVE-2021-20090
CVE-2019–6977
CVE-2019-11580
CVE-2018-7600
CVE 2019-18935
CVE 2020-15505
CVE-2021-25274
CVE-2021-35211
CVE-2017-0143
CVE-2020-8195
CVE-2020-8260
CVE-2020-3952
CVE-2020-5902
CVE-2019-5591
CVE-2020-36198
CVE-2021-40444
CVE-2017-0144
CVE-2019-19781
CVE-2020-3962
CVE-2018-13379
CVE-2017-0145
CVE-2020-11634
CVE2021-21985
CVE-2019-11634
CVE-2017-0146
CVE-2021-21978
CVE-2017-0147
CVE-2017-0148
CVE-2019-0708
